"conference","session","name","speakers","speaker","content","comment","timestamp"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","4","4","I do get why they bring you to meet potential customers. ","2018-05-10T08:32:57.122Z"
"uxdxhelsinki18","afterparty_f677dfe","Afterparty","","0","0","Might be a good idea to have an atendee list available for search for people.","2018-05-08T17:19:51.903Z"
"uxdxhelsinki18","afterparty_f677dfe","Afterparty","","4","4","Friendly and relaxed. ","2018-05-09T05:41:25.147Z"
"uxdxhelsinki18","afterparty_f677dfe","Afterparty","","5","5","Thank you guys for putting this together, absolutely cool event and probably the best value for money for the whole year technology event wise.","2018-05-10T20:57:42.499Z"
"uxdxhelsinki18","being_devops_in_desktop_software_development_b4cfbf6","Being DevOps in Desktop Software Development","Natalia Kaijalainen, Engineering Manager, Trimble","3","5","","2018-05-07T16:10:09.505Z"
"uxdxhelsinki18","being_devops_in_desktop_software_development_b4cfbf6","Being DevOps in Desktop Software Development","Natalia Kaijalainen, Engineering Manager, Trimble","4","3","The content was interesting but not so much related to bringing ux designers and developers closer I think.","2018-05-07T16:10:10.105Z"
"uxdxhelsinki18","being_devops_in_desktop_software_development_b4cfbf6","Being DevOps in Desktop Software Development","Natalia Kaijalainen, Engineering Manager, Trimble","4","3","","2018-05-07T16:13:54.064Z"
"uxdxhelsinki18","being_devops_in_desktop_software_development_b4cfbf6","Being DevOps in Desktop Software Development","Natalia Kaijalainen, Engineering Manager, Trimble","4","4","👍🏻","2018-05-07T16:34:06.464Z"
"uxdxhelsinki18","being_devops_in_desktop_software_development_b4cfbf6","Being DevOps in Desktop Software Development","Natalia Kaijalainen, Engineering Manager, Trimble","4","5","Content was highly interesting, would love to get the presentation as a memo","2018-05-08T05:03:45.548Z"
"uxdxhelsinki18","being_devops_in_desktop_software_development_b4cfbf6","Being DevOps in Desktop Software Development","Natalia Kaijalainen, Engineering Manager, Trimble","3","3","","2018-05-08T08:55:07.652Z"
"uxdxhelsinki18","break","Break","","0","5","Really good to make us network during the break! ","2018-05-08T14:21:06.280Z"
"uxdxhelsinki18","break","Break","","0","0","Fruit and gluten free alternatives would be nice","2018-05-08T14:46:05.929Z"
"uxdxhelsinki18","break","Break","","2","2","Something healthy","2018-05-08T16:26:26.585Z"
"uxdxhelsinki18","break","Break","","5","5","An awesome break!","2018-05-09T13:55:40.843Z"
"uxdxhelsinki18","break","Break","","1","1","More water! ","2018-05-10T15:15:47.011Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","4","Very well done. ","2018-05-08T13:49:14.491Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","3","4","Good reminder","2018-05-08T13:50:26.715Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","4","","2018-05-08T13:53:00.262Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","3","Not sure if process applicable widely","2018-05-08T13:55:28.428Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","5","Best talk by far! Good level of detail, good advice and great to provide real examples that worked and not just theoretical stuff. 
Speaker was very engaging too!
","2018-05-08T14:03:12.414Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","5","","2018-05-08T14:18:07.959Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","3","","2018-05-08T14:18:55.666Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","4","","2018-05-08T14:19:58.649Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","3","Interesting to hear about how IZettle works","2018-05-08T14:25:04.674Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","4","Very intersting","2018-05-08T14:26:10.236Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","2","2","","2018-05-08T14:40:32.285Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","4","","2018-05-08T14:41:07.285Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","5","Great speaker, and great content. Love the examples and love the detail explanation of how her team works. Kudos!","2018-05-08T14:43:41.342Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","4","","2018-05-08T14:45:13.741Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","4","","2018-05-08T14:45:15.771Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","4","Fun to hear about how they work","2018-05-08T15:17:26.045Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","5","","2018-05-08T15:46:13.529Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","5","Great one!","2018-05-08T15:48:39.022Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","5","","2018-05-08T15:58:28.146Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","5","","2018-05-08T16:25:16.166Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","5","Anna needs to do more talks! ;)","2018-05-08T16:25:46.669Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","0","Brilliant speak! ","2018-05-08T16:42:37.576Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","5","I really liked this presentation. I appreciated that she talked about data and ignoring trends","2018-05-08T17:19:11.593Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","3","","2018-05-08T17:48:40.174Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","5","5","Hood dynamics and interesting topic. ","2018-05-09T05:41:05.500Z"
"uxdxstockholm18","building_an_autonomous_team_is_fun__7051ab1","Building an autonomous team is fun!","Anna  Sitnikova, Product Manager, iZettle","4","5","","2018-05-09T06:48:05.399Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","5","The weekly cycle example was very helpful","2018-05-10T14:20:39.995Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","5","","2018-05-10T14:26:19.400Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","5","","2018-05-10T14:29:13.792Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","5","","2018-05-10T14:34:24.358Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","3","3","","2018-05-10T14:35:05.826Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","4","","2018-05-10T14:35:08.442Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","5","","2018-05-10T14:35:22.709Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","5","Very informative","2018-05-10T14:35:23.130Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","3","Would have liked to see how nicks process fitted in wider x functional context","2018-05-10T14:35:29.157Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","5","","2018-05-10T14:35:42.165Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","3","3","Very quiet.
Delivers in a jovial and personable way.
Bit vague in the way that Conway’s law is avoided. Talk suggests SILOS.","2018-05-10T14:35:49.098Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","5","Could be nice to speak louder as I had some trouble to hear you (was at the back of the room)","2018-05-10T14:35:56.455Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","5","Very small peice, content really good so move away from laptop :)","2018-05-10T14:36:02.563Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","3","A little high level but intersting and enagaging","2018-05-10T14:36:12.649Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","4","Excellent way of speaking ","2018-05-10T14:36:35.545Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","4","","2018-05-10T14:36:45.984Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","5","Lovely presentation","2018-05-10T14:37:02.537Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","5","Simple slides but to the point, easy to follow","2018-05-10T14:37:12.471Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","4","Great talk! Small points would be: Could make text on slides bigger (hard to read from back of room). More info on ‘design sprints’ and team structure would be useful for me","2018-05-10T14:37:37.244Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","4","Really great insight to see how his sprints were broken down ","2018-05-10T14:37:48.854Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","3","2","Would have been good to have the context of the tiny design team to begin with. Unclear how proposed solutions are validated beyond lo fi research. Explanation seemed a bit flimsy- but it might have been nerves? ","2018-05-10T14:38:28.212Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","4","would love to hear more how the wow was formed/established. how others were persuaded to adopt. ","2018-05-10T14:39:00.664Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","4","Interesting tips for UX designers! Would be great to also talk about involving devs into those sprints :-)","2018-05-10T14:40:46.836Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","5","Very concise and clear","2018-05-10T14:53:29.328Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","4","Very interesting example on to how to do the UX sprint. ","2018-05-10T14:55:38.116Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","5","Very lively presentation style. Good real life examples, makes it sound realistic, honest, achievable. ","2018-05-10T14:57:58.229Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","3","","2018-05-10T15:14:01.035Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","4","","2018-05-10T17:31:46.671Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","5","5","Refreshing to know that it's ok to create user journeys in a spreadsheet! I've always seen them as drawings and I've not created any before because I didn't feel confident with drawing.","2018-05-10T17:58:06.435Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","3","","2018-05-10T18:53:20.643Z"
"uxdxlondon18","continuously_assessing_product_market_fit_0a500f0","Continuously assessing product/market fit","Nick Gill, UX Researcher, Flyt","4","4","well presented and relevant ","2018-05-11T07:36:03.644Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","3","3","Rather unstructured.","2018-05-09T13:28:36.141Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","2","2","Small text on slides, non working slides. Speaker wirh dark voice. Speak up","2018-05-09T13:29:36.421Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","2","2","Not really engaging and convincing after the good intro talk. ","2018-05-09T13:30:02.680Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","4","3","Interesting to see the workflow within Zendesk but would have liked a much more in depth look at the actual design thinking processes","2018-05-09T13:30:11.441Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","5","4","Witty, good examples","2018-05-09T13:30:22.173Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","4","4","I would have liked to hear not just about Zendesk and one way of doing product discovery but several and get to understand how they compare.","2018-05-09T13:30:38.594Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","5","5","","2018-05-09T13:30:51.919Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","5","5","","2018-05-09T13:30:57.033Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","4","4","","2018-05-09T13:31:17.028Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","4","4","A little bit hard to get what ypy wanted to talk about in the beginning ","2018-05-09T13:31:47.949Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","5","5","Very clear talk about a clean design process. I learned a lot! Liked the comment about design has to “create adventures and memories”. ","2018-05-09T13:31:57.405Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","4","3","I missed the topic of the talk when you started.
What is computational design?
I would have loved to learn more on your day-to-day work with programmers, in the spirit of UXDX.","2018-05-09T13:32:31.283Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","5","4","","2018-05-09T13:46:06.288Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","5","4","Entertaining, informative. Nice loop back to the value prop. ","2018-05-09T14:20:40.353Z"
"uxdxcopenhagen18","design_thinking_for_enterprise_4d22f78","Design Thinking for Enterprise","Timothy Allison, Product Design Lead, Zendesk","5","5","","2018-05-09T16:13:38.664Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","2","2","","2018-05-07T14:21:39.003Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","4","4","Good presentation. Sad ther was no measurement results of the improvement 😒","2018-05-07T14:26:50.596Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","5","4","","2018-05-07T14:32:14.332Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","5","4","","2018-05-07T14:32:31.276Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","5","4","","2018-05-07T14:32:48.123Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","5","5","","2018-05-07T14:33:51.653Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","2","4","","2018-05-07T14:33:58.421Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","5","4","Nice, concrete cases! ","2018-05-07T14:34:48.064Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","5","4","Very good and clear speech on how UX is done in the company ","2018-05-07T14:35:14.322Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","4","4","👍🏻","2018-05-07T16:34:38.591Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","3","3","It's a shame that the Data-analysts and UXers don't work together more. I think she should've had someone who deals with the actual data with her, the bulk of her presentation was based on things that she didn't understand or even want to understand (""it's data magic"")","2018-05-08T07:15:45.644Z"
"uxdxhelsinki18","designing_with_player_segmentation_data_e0e042c","Designing with player segmentation data","Jasmin Dahncke, UX Designer, Next Games","3","4","","2018-05-08T08:54:55.461Z"
"uxdxhelsinki18","ensuring_an_effective_prototyping_process_1359c32","Ensuring an effective prototyping process that aligns with all objectives to speed to delivery","Matias  Pietila, Head of Design, Qvik","5","5","","2018-05-07T14:50:22.676Z"
"uxdxhelsinki18","ensuring_an_effective_prototyping_process_1359c32","Ensuring an effective prototyping process that aligns with all objectives to speed to delivery","Matias  Pietila, Head of Design, Qvik","5","4","","2018-05-07T15:39:11.104Z"
"uxdxhelsinki18","ensuring_an_effective_prototyping_process_1359c32","Ensuring an effective prototyping process that aligns with all objectives to speed to delivery","Matias  Pietila, Head of Design, Qvik","5","5","","2018-05-07T15:45:48.990Z"
"uxdxhelsinki18","ensuring_an_effective_prototyping_process_1359c32","Ensuring an effective prototyping process that aligns with all objectives to speed to delivery","Matias  Pietila, Head of Design, Qvik","5","5","","2018-05-07T15:49:19.814Z"
"uxdxhelsinki18","ensuring_an_effective_prototyping_process_1359c32","Ensuring an effective prototyping process that aligns with all objectives to speed to delivery","Matias  Pietila, Head of Design, Qvik","4","4","","2018-05-07T16:13:45.383Z"
"uxdxhelsinki18","ensuring_an_effective_prototyping_process_1359c32","Ensuring an effective prototyping process that aligns with all objectives to speed to delivery","Matias  Pietila, Head of Design, Qvik","4","4","👍🏻","2018-05-07T16:33:48.265Z"
"uxdxhelsinki18","ensuring_an_effective_prototyping_process_1359c32","Ensuring an effective prototyping process that aligns with all objectives to speed to delivery","Matias  Pietila, Head of Design, Qvik","4","5","","2018-05-08T08:55:00.513Z"
"uxdxhelsinki18","food___networking_91843f0","Food & Networking","","0","0","Splendid","2018-05-09T05:39:10.687Z"
"uxdxhelsinki18","food___networking_91843f0","Food & Networking","","5","5","Good pizza, many drinks, great snacks, outdoor balcony - everything cool! ","2018-05-09T16:40:44.977Z"
"uxdxhelsinki18","food___networking_91843f0","Food & Networking","","0","0","Nice pizza but, was cold. Otherwise great, thanks! ","2018-05-09T16:54:31.853Z"
"uxdxhelsinki18","food___networking_91843f0","Food & Networking","","0","5","","2018-05-09T17:01:11.041Z"
"uxdxhelsinki18","food___networking_91843f0","Food & Networking","","3","3","Very nice pizza, but not enough! ","2018-05-09T18:12:26.631Z"
"uxdxhelsinki18","food___networking_91843f0","Food & Networking","","0","0","Not enough food or places to sit. Not enough vegetarian options & no labels on the food to say what it contained. Venue far too hot","2018-05-10T16:41:48.537Z"
"uxdxhelsinki18","food___networking_91843f0","Food & Networking","","0","0","Not enough space / places to sit or enough food. ","2018-05-10T19:02:43.148Z"
"uxdxlondon18","growth___product___design_x_engineering__40010da","Growth = product ( design x engineering) ^ marketing","Val Scholz, Head of Growth , Revolut","3","4","","2018-05-10T18:10:01.305Z"
"uxdxlondon18","growth___product___design_x_engineering__40010da","Growth = product ( design x engineering) ^ marketing","Val Scholz, Head of Growth , Revolut","5","5","what happens if a team fails? ","2018-05-10T18:13:50.147Z"
"uxdxlondon18","growth___product___design_x_engineering__40010da","Growth = product ( design x engineering) ^ marketing","Val Scholz, Head of Growth , Revolut","4","5","","2018-05-10T18:14:26.576Z"
"uxdxlondon18","growth___product___design_x_engineering__40010da","Growth = product ( design x engineering) ^ marketing","Val Scholz, Head of Growth , Revolut","5","5","","2018-05-10T18:15:15.308Z"
"uxdxlondon18","growth___product___design_x_engineering__40010da","Growth = product ( design x engineering) ^ marketing","Val Scholz, Head of Growth , Revolut","4","3","","2018-05-10T18:52:50.488Z"
"uxdxlondon18","growth___product___design_x_engineering__40010da","Growth = product ( design x engineering) ^ marketing","Val Scholz, Head of Growth , Revolut","5","4","Nice and clear presentation and message. Was ggood to hear from one of these big players. At some points it felt like he is / the company is just winging it. Again, good choice of a charismatic speaker at a later timeslot.","2018-05-10T20:56:36.804Z"
"uxdxlondon18","growth___product___design_x_engineering__40010da","Growth = product ( design x engineering) ^ marketing","Val Scholz, Head of Growth , Revolut","4","5","Would be interested to ask his opinion on concepts like having a family, work-life balance, and slavery based on what he expects from his employees.","2018-05-11T09:59:29.122Z"
"uxdxstockholm18","how_to_fail_early___fast_45ac09d","How to fail early & fast","Parag  Deshpande, Team Leader & Senior UI/UX Designers, Semcon","3","4","","2018-05-08T13:17:03.170Z"
"uxdxstockholm18","how_to_fail_early___fast_45ac09d","How to fail early & fast","Parag  Deshpande, Team Leader & Senior UI/UX Designers, Semcon","4","4","","2018-05-08T13:18:30.489Z"
"uxdxstockholm18","how_to_fail_early___fast_45ac09d","How to fail early & fast","Parag  Deshpande, Team Leader & Senior UI/UX Designers, Semcon","4","2","Was expecting examples of failures and how to recover from them. This was more about how to avoid failures.
The title was the opposite of the content, it felt like. ","2018-05-08T13:18:51.199Z"
"uxdxstockholm18","how_to_fail_early___fast_45ac09d","How to fail early & fast","Parag  Deshpande, Team Leader & Senior UI/UX Designers, Semcon","4","4","Like the connection between ux design and architecture! ","2018-05-08T13:19:28.044Z"
"uxdxstockholm18","how_to_fail_early___fast_45ac09d","How to fail early & fast","Parag  Deshpande, Team Leader & Senior UI/UX Designers, Semcon","4","4","I was looking forward to seeing and hearing about failures but unfortunately there was none. It was also too much of a university lecture. Interesting content though. ","2018-05-08T13:20:06.148Z"
"uxdxstockholm18","how_to_fail_early___fast_45ac09d","How to fail early & fast","Parag  Deshpande, Team Leader & Senior UI/UX Designers, Semcon","5","5","Great parallell","2018-05-08T13:20:22.966Z"
